annotation_id,brand,industry,role,text,label,notes
0,H&M,fashion,greenwashing,"Due diligence process Human rights and environmental due diligence (HREDD) is an integrated part of H&M Group’s long-term sustainability initiatives. Our HREDD process is aligned with the OECD Guidelines for Multinational Enterprises and the UN Guiding Principles on Business and Human Rights. This ensures a systematic approach to identifying, preventing and mitigating adverse impacts on people and the environment. Engagement with rightsholders and affected stakeOur key markets Stores per region, 2025 Total number of stores 4,101 holders is a central part throughout our due diligence process. We engage in meaningful dialogue with affected and potentially affected stakeholders, ensuring their perspectives inform risk identification, prioritisation, actions and remediation.",2,HREDD process with framework references but no outcome data
1,H&M,fashion,greenwashing,"Sharing resources brings shared success To achieve our ambitious goals, we have shared operational enablers that support our key strategic areas. These mainly relate to developing our employees, using new technology, integrating sustainability into the business and focusing on an efficient use of resources. Integrated sustainability We integrate sustainability topics into our strategic business decisions and are working purposefully to decouple our growth by reducing our emissions as well as the use of virgin materials and water, even while our business grows. We acknowledge our environmental and social responsibilities by strengthening people and communities, as well as by reducing negative impact in our own operations and throughout the value chain. Moreover, we have an ambition to drive change in the industry through shared commitments and innovations that help build a thriving fashion industry.",1,"Vague commitment language — decouple growth, drive change, no metrics"
2,H&M,fashion,greenwashing,The metric is calculated as the percentage of production units in scope meeting these requirements. No estimation is applied; only verified test results are included. Assumptions and accounting principles H&M Group’s reporting of pollution data is done in accordance with the requirements as set out in ESRS – see ‘Basis for preparation of the sustainability statement’ and ‘Disclosures in relation to specific circumstances’ on page 63 for more information. ZDHC MRSL requirements Covers Tier 1 and 2 production units using chemicals. Compliance is based on the percentage of chemical products assured to meet the ZDHC Manufacturing Restricted Substances List (MRSL) and verified through ZDHCapproved platforms and Performance InCheck reports.,0,Methodology/reporting technical note — out of scope
3,H&M,fashion,greenwashing,"Green Fashion Initiative The number of projects financed through Green Fashion Initiative (GFI) comprises the total number of projects financed on the last day of the reporting year. Emission reductions achieved are calculated based on a combination of metering, supplier energy data, estimates based on conservative assumptions and emission factors from IEA (2025) and US EPA (2025). Decarbonising production The electricity consumption and share of renewable electricity in our supply chain includes reported electricity from supplier units in Tier 1 to 3. Calculations are only based on actual data and no estimates were used for these figures. Number of suppliers reporting the use of on-site coal is based on the third quarter of 2025.",2,GFI project count but emission reduction methodology opaque
4,H&M,fashion,greenwashing,"The consumption of selfgenerated non-fuel renewable energy includes all self-generated renewable electricity not sold to grid. Fossil and nuclear energy sources in electricity mixes are calculated for countries without renewable electricity coverage, using the nuclear or fossil share of their respective grid mix. Energy intensity per net revenue for own operations Energy intensity is calculated as total energy consumed divided by net sales as reported in the consolidated financial statements. The metric covers the same organisational boundary, reporting period, energy sources and consumption as disclosed in Energy consumption and mix. GHG emission inventory and achieved reductions GHG emissions are reported per GHG Protocol and ESRS E1, using the operational control approach.",0,Technical energy reporting methodology — out of scope
5,H&M,fashion,greenwashing,"During the year, no material current financial effects from identified risks and opportunities has materialised. For current significant resources allocated to our actions, see ‘Climate change’, ‘Biodiversity and ecosystems’ and ‘Resource use and circular economy’. Our double materiality analysis process To effectively manage prioritised sustainability matters along our value chain, we base our efforts on the results of our double materiality analysis. This process enables us to understand, identify, assess, prioritise and monitor both actual and potential impacts, as well as financial risks and opportunities linked to our business operations. The purpose of our double materiality analysis is to guide meaningful action based on two key dimensions: - Impact materiality: the actual or potential positive and negative impacts on people and the environment stemming from activities along our value chain.",0,Risk/opportunity governance disclosure — out of scope
6,H&M,fashion,greenwashing,"Their collective experience covers the fashion and retail sectors, with direct involvement in sustainability initiatives within the H&M group. The board members’ expertise spans multiple industries, and they have experience in areas such as developing sustainability strategies, implementing regulations, and training in key areas like climate, energy transition, human rights, and working conditions. In 2024, the board also underwent training on the CSRD (Corporate Sustainability Reporting Directive) to increase their understanding of managing our material sustainability matters in relation to the new regulations, thereby ensuring effective governance and monitoring of sustainability efforts within the H&M group. The audit committee The audit committee oversees H&M Group’s financial and sustainability reporting, and the effectiveness of the company’s risk management and internal control, including material sustainability impacts, risks and opportunities. The audit committee also oversees all auditing topics related to the H&M group’s financial and sustainability reports.",0,"Board sustainability credentials — governance, out of scope"
7,H&M,fashion,greenwashing,"Our Scope 3 GHG emissions (excluding use-phase) have been decreasing over time in line with the set targets, although some variation in the progress for each year is to be expected on the journey towards the 2030 target. Target –30% by 2030 Empowering people and communities that advance human rights and support access to a clean and healthy environment for all. In 2025, 92.6 percent of chemicals in Tier 1 and 2 production units were assured to meet ZDHC MRSL requirements, contributing to improved chemical management in our supply chain. We have also ensured that all workers in Tier 1 factories have access to to grievance and dispute resolution mechanisms. By advancing human rights and addressing negative impacts on people and the environ ment in our own operations and across our value chain we take social and environmental responsibility.",2,Scope 3 decrease claimed with target referenced but no absolute figures
8,H&M,fashion,greenwashing,"This engagement helps us understand the actual and potential impacts on value chain workers. The outcome of these processes informs and guides strategic business decisions such as the selection of operating locations and business partners. We are aware that our business activities may affect workers differently depending on their role in the value chain. We rely on our suppliers, their employees, and our business partners to successfully deliver on our 106 107 Sustainability statement/Social manage negative impacts related to the extraction of raw materials in Tier 4 of our supply chain, primarily through collaboration with partners such as the BCI.",2,Stakeholder engagement process — some substance but no outcome metrics
9,H&M,fashion,greenwashing,"Fashion that inspires We want our customers to sense the thought, feeling and commitment that go into every garment. The cut, the sewing and the inside of a garment are just as important as how it looks on the outside. At the same time, we are developing our efforts in key sustainability areas and expanding our resale offering so that more customers can give their clothes a longer life. Our business/Fashion and design Creative collections COS presented its SS25 collection in Athens. Echoing Renaissance art, the collection’s softly sculptured silhouettes and draped elements created a feeling of fluidity.",1,"Vague brand aspiration — sense the thought, feeling — no claim"
