annotation_id,brand,industry,role,text,label,notes
0,H&M,fashion,greenwashing,"The assessment is based on data provided by diversity due to the conversion of natural ecosystems into agricultural land. what materials we choose and the services we offer. This is also related to principles on freedom of association. Wage Indicator Foundation, which is grounded in the Anker methodology Environmental degradation may also be caused by the release of chemicals our wider strategy to find ways to decouple our growth from the use of critical and align with ILO principles for estimating living wages. into wastewater from manufacturing sites in our upstream value chain. We and finite resources such as land, freshwater and virgin materials. Supply chain management – Collective bargaining agreements also acknowledge that people living in or near sites in our downstream value Covers Tier 1 units with legally binding collective bargaining agreements Access to grievance mechanisms chain may be particularity vulnerable or at risk of environmental degradation. Policies related to affected communities (CBA). Data is sourced from verified assessments and formal documentation Covers Tier 1 units with grievance mechanisms meeting minimum criteria. Groups of people located near waste disposal sites may be especially To manage matters related to affected communities, we are guided by our collected through FSLM.",2,OCR garble: multiple PDF columns merged. Hard to assess any single claim.
1,H&M,fashion,greenwashing,"internal control, risk and various new regulations, laws and directives, including the EU’s new Corporate Sustainability Reporting Directive (CSRD). During Keith Barker, 2024 7/7 Number of board meetings the year the chief sustainability officer provided information on the status employee rep. H&M normally holds six regular board meetings during the financial year, one and plan for satisfying the new disclosure requirements. The significant risks Tim Gahnström, 2021 5/7 of which is the statutory board meeting. Extraordinary board meetings are discussed at the audit committee meetings were also discussed at the sub- employee rep. held when the need arises. The CEO attends all board meetings, except when sequent board meetings. The board of directors goes through interim financial Agneta Gustafsson, 2022 7/7 the CEO’s terms of remuneration are being discussed. The CEO reports to reports before they are published at four meetings in the year. At the January employee rep. the board of directors on the operational work within the group and ensures meeting the board of directors discusses the annual and sustainability report, Sofia Almbrandt, 2024 2/7 that ahead of each board meeting the board of directors is given relevant and and the auditor’s report on the year’s audit. During the year the board of deputy employee rep. objective information on which to base its decisions. The CFO also attends directors also met with the c ompany’s auditors without the CEO or other Hans Lundamo, 2024 4/7 the board meetings to provide financial information.",2,Board governance content. No environmental claim present.
2,H&M,fashion,greenwashing,"Our efforts have attracted external attention, and we are seen as one of the leading players in our industry. During the year we were ranked number one of 200 companies in Fashion Revolution’s What Fuels Fashion report, topped Stand.earth’s Fossil-Free Fashion Scorecard for the second consecutive year and were A-listed by CDP for our climate and water efforts. What we are particularly proud of is that many of the DESIGNED AROUND effects we have achieved have been driven by smarter THE CUSTOMER EXPERIENCE ways of working in our value chain, rather than by large “In 2025 we investments. We work with fewer suppliers and build Inspiration long-term partnerships with them. By offering more stable laid a stronger volumes and better planning, we create the conditions and presence for our partners to invest in renewable energy and more foundation and energy-efficient processes. It is this partnership that took important makes a difference. When business and sustainability in all channels develop together, we can reduce emissions at scale steps towards and show that fashion can be both affordable and have a lower climate impact. all our long-term The power of our culture t argets.” Our purpose is Liberating fashion for the many Our greatest assets are our employees and our shared – and in all our channels this means creating expevalues. The passion I encounter in stores, warehouses and riences that inspire and engage in a way that feels offices around the world – the desire to succeed and the relevant and meaningful to our customers. Our drive to always improve – is one of our most fundamental products are always the starting point.",2,Mix: CDP A-list + Stand.earth (credible) vs 'Liberating fashion' brand language (vague).
3,H&M,fashion,greenwashing,"For 2025, this funding accounted for as long-term receivables, other receivables, and prepaid expenses. NOTE 12 Tax 161 Parent company NOTE 13 Non-controlling interests 162 The parent company applies the Swedish Annual Accounts Act and the E4 Biodiversity and ecosystems NOTE 14 Intangible assets 162 Swedish Financial Reporting Board’s recommendation RFR 2, Accounting The H&M group collaborates with WWF on landscape restoration in South for Legal Entities, which essentially means that IFRS is applied. In accord- Africa and India. The total amounts to SEK 3 m. This has been categorised NOTE 15 Buildings, land and equipment 163 ance with RFR 2, the parent company does not apply IFRS 9 with the ex - under administrative expenses and prepaid expenses. NOTE 16 Interests in associates and joint ventures 163 ception of the principles in IFRS 9 regarding the time of recognition and NOTE 17 Leases 164 removal of financial instruments in the balance sheet and the principles for E5 Resource use and circular economy impairment testing and recognition of expected credit losses. The parent Environmental and geopolitical factors, such as resource scarcity and NOTE 18 Stock-in-trade 165 company applies the exception in RFR 2 in respect of IFRS 16, which means changing trade flows, may affect the availability of raw materials and lead to NOTE 19 Prepaid expenses 165 that the principles of IFRS 16 are not applied in the legal entity. Due to the increased costs for procurement, production, and energy. At the same time, NOTE 20 Cash and cash equivalents 165 link between reporting and taxation, year-end appropriations and untaxed stricter regulations regarding the management of product and packaging reserves are reported in the parent company’s financial statements. waste may result in additional costs and financial penalties in cases of NOTE 21 Share capital 165 Group contributions that the parent company receives from subsidiaries non-compliance. NOTE 22 Provisions for pensions 166 and provides to subsidiaries are reported under appropriations.",2,
4,H&M,fashion,greenwashing,"The policy addresses matters transition hazards. These were screened based on actual data in regard to related to climate change mitigation, our GHG emissions and energy use. geospatial coordinates, energy and water consumption, economical weight It does not cover matters related to climate change adaptation. In addition, Our actions to reduce GHG emissions (such as sales volume for stores, or production value for supplier sites), and our sustainability commitment, which must be signed by all our business site-specific GHG emissions. Physical hazards including flooding, extreme partners, requires suppliers to monitor and report energy use and emissions, temperatures, extreme rainfall, drought, wildfires, cyclones, and water stress and pursue continuous efficiency improvements. Read more about our – <1% Activity growth were evaluated alongside transitional events including changes to legislation, policies and commitments on page 120. 2019–2030 market shifts, reputational risks and technological events. –38% The analysis was conducted in 2024, covering scenarios over the short- Our climate transition plan term (within one year), medium-term (by 2030) and long-term (by 2040) to Building on our business idea and strategic priorities, we have adopted align with the time-horizons used when setting our climate targets. The a climate transition plan and set science based targets in line with the analysis is based on three climate scenarios1: a low (1.5°C), moderate (~3°C), Paris Agreement to contribute to the limiting of global warming to 1.5°C. and high (>3°C) warming pathway.",0,
5,H&M,fashion,greenwashing,"For the financial year 2025, impacts More detailed information about our planned and ongoing actions to assessed as medium, high or critical were considered material and financial manage material impacts, risks and opportunities and their interaction effects assessed as high or critical were considered material. with our strategy and business model is disclosed in the topical sections. Set threshold Our resilience analysis methodology will be further developed during Identify relevant Score relevant for impact 2026 to ensure we cover all material sustainability matters. impacts impacts materiality Map impact Report and address areas along material matters the value chain Identify relevant Score relevant Set threshold for risks/opportunities risks/opportunities financial materiality 68 69 Sustainability statement/General information Material sustainability matters Value chain Time Value chain Time Matter Type location horizon Matter Type location horizon Climate change Workers in the value chain GHG emissions along the value chain Negative impact (A) Health and safety of workers in the value chain (Tier 3 and 4) Negative impact (P) Energy use in the supply chain Negative impact (A) Health and safety of workers in the value chain (Tier 1 and 2) Negative impact (P) GHG emissions from own operations Negative impact (A) Health and safety of workers in the logistics industry Negative impact (P) Energy use in own operations Negative impact (A) Forced labour in the value chain Negative impact (P) Risk of increased procurement costs due to climate change Financial risk Child labour in the value chain Negative impact (P) Risk of supply disruptions along transportation routes due to climate change Financial risk Working conditions and adequate wages in the value chain Negative impact (P) Risk of supply disruptions in key production markets due to climate change Financial risk Right to freedom of association of value chain workers Negative impact (P) Risk of increased sourcing costs due to carbon taxes Financial risk Secure employment of value chain workers Negative impact (P) Water pollution Sexual harassment and gender-based violence in the value chain Negative impact (P) Pollution of water in the supply chain Negative impact (P) Risk of non-compliance with regulations and poor working conditions in the value chain Financial risk Generation of microfibres and microplastics Negative impact (P) Risk of supply disruptions related to human rights violations in the value chain Financial risk Water use Affected communities Water withdrawals and consumption in the supply chain Negative impact (A) Land use, land rights and livelihoods Negative impact (P) Biodiversity and ecosystems Community access to a clean and healthy environment Negative impact (P) Land-use change, deforestation and biodiversity loss Negative impact (A) Risk of non-compliance with regulations and violations of land rights Financial risk Land degradation Negative impact (A) Consumers and end-users Resource use and circular economy Customer data privacy and protection Negative impact (P) Materials and resource use (resource inflows) Negative impact (A) Responsible marketing and social inclusion of consumers Negative impact (P) Generation of waste (resource outflows) Negative impact (A) Product safety and consumer health Negative impact (P) Product design and services (resource outflows) Negative impact (A) Risk of inadequate information security and protection of customer data Financial risk Risk of reduced availability of raw materials Financial risk Business conduct Risk of increased costs to manage waste Financial risk Corporate culture and ethical business conduct Positive impact (P) Opportunity to create new revenue streams from resale Financial opportunity Protection of whistleblowers Positive impact (P) Opportunity to improve business resilience Financial opportunity Animal welfare Negative impact (P) Own workforce Supplier and business relationships Positive impact (P) Working conditions and collective bargaining agreements Negative impact (P) Risk of non-compliance with regulations and poor management of supplier relationships Financial risk Colleague wellbeing, health and safety Negative impact (P) Risk of corruption and unethical business conduct Financial risk Diversity and inclusion Negative impact (P) Colleague data security and privacy Negative impact (P) Forced labour in own operations Negative impact (P) Type Actual impact (A), Potential impact (P) Working hours, wages and secure employment Negative impact (P) Value chain location Upstream Own operations Downstream Work-life balance Negative impact (P) Time horizon Risk of inadequate information security and protection of employee data Financial risk Short term Medium term Long term Risk of lower talent attraction and co-worker retention Financial risk See list of the disclosure requirements complied with in preparing the sustainability statement on page 123 based on the results of the double materiality analysis. 70 71 Climate change Our ambition, steering and strategy Our resilience analysis shows that H&M Group is well-positioned to Our ambition is to contribute to the limiting of global warming to 1.5°C in manage risks related to climate change. While extreme weather events and line with the Paris Agreement. To achieve this ambition, we focus our efforts changes in climatic conditions may disrupt our supply chain, including proon reducing our GHG emissions in accordance with our climate targets by duction sites and transportation routes, our ongoing and planned efforts will investing in new technology and optimising our resource use. These efforts increase our resilience in the short to medium term (within one to five years).",2,Double materiality methodology table — not a substantive environmental claim.
6,H&M,fashion,greenwashing,"Key external sources and frameworks used include factors along our full value chain as presented on page 66. To do so, we gather been identified as material are monitored by our subject matter experts to success. Our overall approach is outlined in our process for stakeholder the SASB Standards, OECD Guidelines for Multinational Enterprises, the insights from a wide range of stakeholders through continuous engagements ensure we follow up on our initial assessment and take action to manage engagement, which ensures that we capture the perspectives of affected European Sustainability Reporting Standards (ESRS), the World Wildlife throughout the year. This includes a review of the outputs from our due dili- prioritised matters. When a sustainability matter is concluded as material, stakeholders – either through direct consultation or, when necessary, via Fund for Nature (WWF) and the European Environment Agency (EEA). These gence process, risk management process, and stakeholder engagement we apply the principles of materiality of information to determine what data representatives or proxies. Insights from these stakeholder engagements sources and frameworks help us identify sector and country specific risks process as well as insights derived from external frameworks and experts. and information to disclose based on stakeholders’ expectations. Our moniare documented on a quarterly basis. We integrate the outcomes of our to ensure we consider the perspectives of affected stakeholders across toring and reporting of sustainability-related matters is overseen by the stakeholder engagements into our double materiality analysis, which directly different geographies.",2,Stakeholder engagement methodology — not a claim.
7,H&M,fashion,greenwashing,"– i f they are not part of the executive management team – are appointed parisons between the various companies. • The annual and sustainability report by the CEO or CFO. There are policies, guidelines and manuals in place across the group, • Interim reports, the full-year report and quarterly reports including detailed instructions for store staff that govern daily work in the • Press releases on events and circumstances that may impact Stockholm, 19 March 2026 stores and ensure uniformity. In most cases these are drawn up by the group Read more the share price functions at head office in Stockholm and then communicated to the respecRead more about H&M Group’s corporate governance at hmgroup.com/ The Board of Directors tive departments in regional and country offices. Each group function regu- • H&M Group’s website hmgroup.com about-us/corporate-governance, which contains the following information among other things: larly reviews its guidelines and manuals to keep them up to date, adding new More information on specific policies can be found in the sustainability guidelines whenever necessary. statement on page 120. • Articles of association • Information and material from previous AGMs and extraordinary general meetings 56 57 Our progress 59 Our progress Decoupling growth 60 Empowering people and communities 61 Driving change within our industry 61 General information 62 Our approach to sustainability 63 Environment 72 Climate change 73 Water pollution 82 Water use 84 Biodiversity and ecosystems 86 Resource use and circular economy 88 EU taxonomy reporting 94 We exist to Liberate fashion for the many. To deliver on this By translating long-term sustainability commitments into Social 98 purpose and meet our customers’ expectations, we aim to purposeful actions, we have achieved measurable progress. Own workforce 99 offer fashion and quality at the best price in a sustainable Investments in collaboration, resource efficiency, and innoWorkers in the value chain 106 way.",1,
8,H&M,fashion,greenwashing,"Since the parent company is a company ments to the companies the group has binding agreements with do not within the EU, only IFRS approved by the EU are applied. The consolidated amount to significant amounts for each individual year up until 2030. NOTE 5 Net sales 155 accounts also contain disclosures in accordance with the Swedish Financial In 2025, the H&M group allocated a total of SEK 1,662 m, thereof NOTE 6 Revenue from group companies 155 Reporting Board’s recommendation RFR 1, Supplementary Accounting SEK 300 m CapEx, to climate transition actions, including the installation NOTE 7 Costs by type 155 Rules for Groups. of energy-efficient equipment, energy audits, increased use of renewable The parent company’s functional currency is Swedish kronor, which electricity through long-term power purchase agreements (PPAs). This has NOTE 8 Salaries, other remuneration and social security costs 156 is also the reporting currency for the parent company and for the group. been categorised under cost of goods sold, inventories, prepaid expenses, NOTE 9 Average number of employees 159 Unless other wise indicated, all amounts are reported in millions of other receivables, selling expenses, and administrative expenses. Of the Swedish kronor (SEK m). total amount, SEK 1,245 m is included in E5. NOTE 10 Depreciation, amortisation and write-downs 160 Applicable accounting principles are described in connection with Funding is provided to supplier factories to enable investments to reduce NOTE 11 Audit fees 160 each note. energy demand and replace fossil fuels.",0,
9,H&M,fashion,greenwashing,"composition of the nomination committee adopted at the 2022 AGM, which the AGM and for the period up to and including the next AGM. Since the 2025 This is supplemented by one or more business presentations. The board of directors continually evaluates its work, and the chair of apply until a general meeting of shareholders resolves otherwise. The nominaAGM the board of directors has consisted of eight ordinary members elected the board of directors is in regular contact with members of the board of tion committee is to consist of the chair of the board of directors plus four by the general meeting, with no deputies, as well as three employee represent- The following are usually reviewed at each board meeting: directors between meetings as part of the board of directors’ work and its others nominated by the four largest shareholders in terms of voting rights, atives and three deputies for these positions. Only the employee represent- • Minutes of the previous meeting evaluation process. The evaluation covers working methods, the working as set out in the register of shareholders on the last banking day of August. atives and their deputies are employed by the company. Since the 2025 climate, wishes and the main focus of the board of directors’ work. As a • The CEO’s status report and report by the CFO AGM the board of directors has consisted of the following members elected complement to this, a board evaluation in the form of a questionnaire was In autumn 2025 the nomination committee thus consisted of: • Strategic matters by the general meeting: Karl-Johan Persson (chair), Klas Balkow, Anders also carried out in 2025. • Karl-Johan Persson, chair of the board of directors Dahlvig, Danica Kragic Jensfelt, Lena Patriksson Keller, Helena Saxon, • Feedback from the latest audit committee meeting In addition to contributing to continuous improvement, the evaluation • Stefan Persson, Ramsbury Invest AB Christian Sievert and Christina Synnergren.",2,Board nomination content — no environmental substance.
