passage_id,brand,scope,knn_prob,tfidf_prob,flagged_text,neighbor_rank,neighbor_label,neighbor_dist,neighbor_brand,neighbor_text
33,H&M,supply_chain,1.0,0.5571,"OUR VALUE CHAIN Flexibility and efficiency all along the value chain Through continuous development and a firm commitment, H&M Group’s value chain reflects our journey towards a more transparent and efficient business model designed to meet the expectations of today’s conscious consumer. To give customers the best offering in the right channel at the right time, we focus on securing a demand-driven and flexible supply chain that can react quickly to trends and changing customer behaviour. Reduci",1,greenwash-risk,0.3881,Ralph Lauren,"We can be stewards of the natural world for generations to come and operate an enduring business by embracing practices that lighten our footprint and protect biodiversity. This not only includes creating products more thoughtfully, but it extends to how we operate our business: transitioning to ren"
33,H&M,supply_chain,1.0,0.5571,"OUR VALUE CHAIN Flexibility and efficiency all along the value chain Through continuous development and a firm commitment, H&M Group’s value chain reflects our journey towards a more transparent and efficient business model designed to meet the expectations of today’s conscious consumer. To give customers the best offering in the right channel at the right time, we focus on securing a demand-driven and flexible supply chain that can react quickly to trends and changing customer behaviour. Reduci",2,greenwash-risk,0.4244,Ralph Lauren,"We are committed to minimizing downstream impacts where possible and advancing circularity. More information can be found in our Resource Use & Circularity section of this report. Outbound Wholesale and Licensed Product Use Repair, Returns Transportation Retail Operations Phase and End-of-Life 10 Th"
33,H&M,supply_chain,1.0,0.5571,"OUR VALUE CHAIN Flexibility and efficiency all along the value chain Through continuous development and a firm commitment, H&M Group’s value chain reflects our journey towards a more transparent and efficient business model designed to meet the expectations of today’s conscious consumer. To give customers the best offering in the right channel at the right time, we focus on securing a demand-driven and flexible supply chain that can react quickly to trends and changing customer behaviour. Reduci",3,greenwash-risk,0.4373,Ralph Lauren,"16 2025 GLOBAL CITIZENSHIP & & GC&S SUPPLEMENT Climate Increasing climate change risks require a collective effort to make significant reductions to global greenhouse gas (GHG) emissions so we can protect and preserve our planet. To support our decarbonization roadmap and targets, we have defined ke"
34,H&M,supply_chain,1.0,0.534,"We work closely with our suppliers to support the transition to renewable energy, phase out fossil fuels and improve energy efficiency. Sustainability targets are integrated into our partnerships, helping suppliers achieve their own environmental targets. Our logistics infrastructure has also been up - graded to incorporate new solutions, such as solar panels and rainwater separation systems at distribution centres. Our value chain includes the entire life cycle of our products – from planning, ",1,greenwash-risk,0.3853,Ralph Lauren,"We are committed to minimizing downstream impacts where possible and advancing circularity. More information can be found in our Resource Use & Circularity section of this report. Outbound Wholesale and Licensed Product Use Repair, Returns Transportation Retail Operations Phase and End-of-Life 10 Th"
34,H&M,supply_chain,1.0,0.534,"We work closely with our suppliers to support the transition to renewable energy, phase out fossil fuels and improve energy efficiency. Sustainability targets are integrated into our partnerships, helping suppliers achieve their own environmental targets. Our logistics infrastructure has also been up - graded to incorporate new solutions, such as solar panels and rainwater separation systems at distribution centres. Our value chain includes the entire life cycle of our products – from planning, ",2,greenwash-risk,0.4031,Shein,58 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Source Responsible Materials Understanding Our Material Impacts Understanding our impacts is essential for driving positive change.
34,H&M,supply_chain,1.0,0.534,"We work closely with our suppliers to support the transition to renewable energy, phase out fossil fuels and improve energy efficiency. Sustainability targets are integrated into our partnerships, helping suppliers achieve their own environmental targets. Our logistics infrastructure has also been up - graded to incorporate new solutions, such as solar panels and rainwater separation systems at distribution centres. Our value chain includes the entire life cycle of our products – from planning, ",3,greenwash-risk,0.4117,Shein,"54 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Decarbonise Our Value Chain Our Decarbonisation Journey Ahead As we look towards our net-zero target, we recognise the need not onl"
35,H&M,supply_chain,1.0,0.5266,"Our value chain includes the entire life cycle of our products – from planning, design and sourcing to production, distribution, use, collection, sorting, reuse and recycling. The part of this that involves production, logistics and distribution constitutes our supply chain, which is based on long-term partnerships, mutual trust and fair purchasing practices. Our production offices in sourcing markets maintain close dialogue with suppliers, allowing us to quickly adapt volumes, channels and mark",1,greenwash-risk,0.3959,Shein,Product Manufacturing Goal On-demand: Avoid overproduction through small batch on-demand business model. Drive positive change in fashion and beyond by rapidly testing and scaling sustainable innovations and impact. - Innovation: Adopt and scale innovation in garment production to reduce waste. Goal
35,H&M,supply_chain,1.0,0.5266,"Our value chain includes the entire life cycle of our products – from planning, design and sourcing to production, distribution, use, collection, sorting, reuse and recycling. The part of this that involves production, logistics and distribution constitutes our supply chain, which is based on long-term partnerships, mutual trust and fair purchasing practices. Our production offices in sourcing markets maintain close dialogue with suppliers, allowing us to quickly adapt volumes, channels and mark",2,greenwash-risk,0.4135,Shein,58 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Source Responsible Materials Understanding Our Material Impacts Understanding our impacts is essential for driving positive change.
35,H&M,supply_chain,1.0,0.5266,"Our value chain includes the entire life cycle of our products – from planning, design and sourcing to production, distribution, use, collection, sorting, reuse and recycling. The part of this that involves production, logistics and distribution constitutes our supply chain, which is based on long-term partnerships, mutual trust and fair purchasing practices. Our production offices in sourcing markets maintain close dialogue with suppliers, allowing us to quickly adapt volumes, channels and mark",3,greenwash-risk,0.4559,Shein,"54 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Decarbonise Our Value Chain Our Decarbonisation Journey Ahead As we look towards our net-zero target, we recognise the need not onl"
39,H&M,supply_chain,1.0,0.42,"As part of our strategic partnerships we have consolidated volumes to fewer, stronger suppliers. This improves our bargaining position and gives us better contract terms. It also means we can place higher demands on our suppliers in terms of sustainability and quality. Working more closely with suppliers and keeping production close to the customer means we can also react faster to trends. DESIGNED AROUND THE CUSTOMER EXPERIENCE A digital store with precision and personality Over the year we hav",1,greenwash-risk,0.4692,Everlane,"NEXT STEPS TO PRIORITIZE PROGRESS We hold a deep belief that meaningful progress in social responsibility is built on long-term relationships, continuous learning, and collective action. In our experience, there are three key pathways to driving year-over-year improvement in supplier performance. Fi"
39,H&M,supply_chain,1.0,0.42,"As part of our strategic partnerships we have consolidated volumes to fewer, stronger suppliers. This improves our bargaining position and gives us better contract terms. It also means we can place higher demands on our suppliers in terms of sustainability and quality. Working more closely with suppliers and keeping production close to the customer means we can also react faster to trends. DESIGNED AROUND THE CUSTOMER EXPERIENCE A digital store with precision and personality Over the year we hav",2,greenwash-risk,0.5326,Ralph Lauren,"We are committed to minimizing downstream impacts where possible and advancing circularity. More information can be found in our Resource Use & Circularity section of this report. Outbound Wholesale and Licensed Product Use Repair, Returns Transportation Retail Operations Phase and End-of-Life 10 Th"
39,H&M,supply_chain,1.0,0.42,"As part of our strategic partnerships we have consolidated volumes to fewer, stronger suppliers. This improves our bargaining position and gives us better contract terms. It also means we can place higher demands on our suppliers in terms of sustainability and quality. Working more closely with suppliers and keeping production close to the customer means we can also react faster to trends. DESIGNED AROUND THE CUSTOMER EXPERIENCE A digital store with precision and personality Over the year we hav",3,greenwash-risk,0.5502,H&M,"Sharing resources brings shared success To achieve our ambitious goals, we have shared operational enablers that support our key strategic areas. These mainly relate to developing our employees, using new technology, integrating sustainability into the business and focusing on an efficient use of re"
100,H&M,supply_chain,1.0,0.5274,"We have integrated sustainability aspects into our long-term business planning to ensure that environmental, social, and governance-related factors are evaluated alongside financial and operational priorities. In 2025, this meant that we decided to enter into a multi-year strategic partnership with Circulose to replace virgin viscose, as well as to continue supporting Syre to enable large-scale textile-to-textile recycling. Decisions were also made to continue working towards building a demand-d",1,greenwash-risk,0.2916,Shein,"54 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Decarbonise Our Value Chain Our Decarbonisation Journey Ahead As we look towards our net-zero target, we recognise the need not onl"
100,H&M,supply_chain,1.0,0.5274,"We have integrated sustainability aspects into our long-term business planning to ensure that environmental, social, and governance-related factors are evaluated alongside financial and operational priorities. In 2025, this meant that we decided to enter into a multi-year strategic partnership with Circulose to replace virgin viscose, as well as to continue supporting Syre to enable large-scale textile-to-textile recycling. Decisions were also made to continue working towards building a demand-d",2,greenwash-risk,0.3115,H&M,"Sharing resources brings shared success To achieve our ambitious goals, we have shared operational enablers that support our key strategic areas. These mainly relate to developing our employees, using new technology, integrating sustainability into the business and focusing on an efficient use of re"
100,H&M,supply_chain,1.0,0.5274,"We have integrated sustainability aspects into our long-term business planning to ensure that environmental, social, and governance-related factors are evaluated alongside financial and operational priorities. In 2025, this meant that we decided to enter into a multi-year strategic partnership with Circulose to replace virgin viscose, as well as to continue supporting Syre to enable large-scale textile-to-textile recycling. Decisions were also made to continue working towards building a demand-d",3,greenwash-risk,0.3464,Shein,58 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Source Responsible Materials Understanding Our Material Impacts Understanding our impacts is essential for driving positive change.
1171,Shein,supply_chain,1.0,0.5576,"Through the above actions, SHEIN’s Foshan warehouse achieved a significant reduction in energy consumption compared to the same period last year, with an estimated annual electricity savings of 5.5% (1,121.9 MWh), providing a strong model for the transition of other SHEIN-operated warehouses. Intelligent energy management systems enable our warehouse staff to track energy consumption, mitigate safety hazards, and reduce inadvertent energy waste. The use of more energy-efficient lighting helps to",1,greenwash-risk,0.3306,Sephora,"Other key emission hotspots include inbound and outbound transportation flows and the impact of capital-goods investments, such as stores opening and renovations. We are committed to achieving the best possible outcomes in each strategic pillar, believing that shared responsibility for positive acti"
1171,Shein,supply_chain,1.0,0.5576,"Through the above actions, SHEIN’s Foshan warehouse achieved a significant reduction in energy consumption compared to the same period last year, with an estimated annual electricity savings of 5.5% (1,121.9 MWh), providing a strong model for the transition of other SHEIN-operated warehouses. Intelligent energy management systems enable our warehouse staff to track energy consumption, mitigate safety hazards, and reduce inadvertent energy waste. The use of more energy-efficient lighting helps to",2,greenwash-risk,0.3454,Ralph Lauren,"We can be stewards of the natural world for generations to come and operate an enduring business by embracing practices that lighten our footprint and protect biodiversity. This not only includes creating products more thoughtfully, but it extends to how we operate our business: transitioning to ren"
1171,Shein,supply_chain,1.0,0.5576,"Through the above actions, SHEIN’s Foshan warehouse achieved a significant reduction in energy consumption compared to the same period last year, with an estimated annual electricity savings of 5.5% (1,121.9 MWh), providing a strong model for the transition of other SHEIN-operated warehouses. Intelligent energy management systems enable our warehouse staff to track energy consumption, mitigate safety hazards, and reduce inadvertent energy waste. The use of more energy-efficient lighting helps to",3,greenwash-risk,0.3743,Shein,58 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Source Responsible Materials Understanding Our Material Impacts Understanding our impacts is essential for driving positive change.
1584,Lululemon,unclear,1.0,0.5116,"TRANSPORTATION As a global business, we move products from supplier facilities to distribution centres, retail stores, and guests worldwide, using multiple modes of transport. In 2024, inbound and outbound transportation made up approximately 17 percent of our total carbon footprint. Our transportation initiatives include utilizing lower-carbon transportation modes, engaging with logistics service providers (LSPs), and supporting advancements in alternative lower-carbon fuels. TRANSPORT MODES Th",1,greenwash-risk,0.4997,Ralph Lauren,"We are committed to minimizing downstream impacts where possible and advancing circularity. More information can be found in our Resource Use & Circularity section of this report. Outbound Wholesale and Licensed Product Use Repair, Returns Transportation Retail Operations Phase and End-of-Life 10 Th"
1584,Lululemon,unclear,1.0,0.5116,"TRANSPORTATION As a global business, we move products from supplier facilities to distribution centres, retail stores, and guests worldwide, using multiple modes of transport. In 2024, inbound and outbound transportation made up approximately 17 percent of our total carbon footprint. Our transportation initiatives include utilizing lower-carbon transportation modes, engaging with logistics service providers (LSPs), and supporting advancements in alternative lower-carbon fuels. TRANSPORT MODES Th",2,greenwash-risk,0.5001,Zara,"In this regard, we develop initiatives to minimise the impact of the facilities of our supply chain as part of the Supply Chain Environmental Transformation Plan 2024-2027. In addition, we work continuously on innovation in materials and processes to reduce their impact on the environment and people"
1584,Lululemon,unclear,1.0,0.5116,"TRANSPORTATION As a global business, we move products from supplier facilities to distribution centres, retail stores, and guests worldwide, using multiple modes of transport. In 2024, inbound and outbound transportation made up approximately 17 percent of our total carbon footprint. Our transportation initiatives include utilizing lower-carbon transportation modes, engaging with logistics service providers (LSPs), and supporting advancements in alternative lower-carbon fuels. TRANSPORT MODES Th",3,greenwash-risk,0.5015,Ralph Lauren,"16 2025 GLOBAL CITIZENSHIP & & GC&S SUPPLEMENT Climate Increasing climate change risks require a collective effort to make significant reductions to global greenhouse gas (GHG) emissions so we can protect and preserve our planet. To support our decarbonization roadmap and targets, we have defined ke"
2163,Puma,supply_chain,1.0,0.4544,"We see a regulatory landscape with unfavourable policies for renewables in some countries as a high risk. Furthermore, unstable business in our industry overall can restrain suppliers from investing in technologies and upgrading their facilities with low-carbon machinery. Below are some key focus areas for the coming years. Some actions taken since 2021 and continued in 2024 are covered in this report. - Raise awareness: We realised that suppliers need specific training to achieve the ambitious ",1,greenwash-risk,0.4579,Ralph Lauren,"16 2025 GLOBAL CITIZENSHIP & & GC&S SUPPLEMENT Climate Increasing climate change risks require a collective effort to make significant reductions to global greenhouse gas (GHG) emissions so we can protect and preserve our planet. To support our decarbonization roadmap and targets, we have defined ke"
2163,Puma,supply_chain,1.0,0.4544,"We see a regulatory landscape with unfavourable policies for renewables in some countries as a high risk. Furthermore, unstable business in our industry overall can restrain suppliers from investing in technologies and upgrading their facilities with low-carbon machinery. Below are some key focus areas for the coming years. Some actions taken since 2021 and continued in 2024 are covered in this report. - Raise awareness: We realised that suppliers need specific training to achieve the ambitious ",2,greenwash-risk,0.4788,L'Oreal,"In 2025, 65,000+ employees were trained on responsible use of gen AI, ensuring teams are equipped to leverage new technologies that spur innovation. Agile operations at speed and scale L’Oréal Operations uses its global footprint to design, procure and manufacture products closer to consumers and en"
2163,Puma,supply_chain,1.0,0.4544,"We see a regulatory landscape with unfavourable policies for renewables in some countries as a high risk. Furthermore, unstable business in our industry overall can restrain suppliers from investing in technologies and upgrading their facilities with low-carbon machinery. Below are some key focus areas for the coming years. Some actions taken since 2021 and continued in 2024 are covered in this report. - Raise awareness: We realised that suppliers need specific training to achieve the ambitious ",3,greenwash-risk,0.5315,Shein,"54 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Decarbonise Our Value Chain Our Decarbonisation Journey Ahead As we look towards our net-zero target, we recognise the need not onl"
2717,Everlane,supply_chain,1.0,0.5315,"- → Prioritize lower-impact production processes, such as closed-loop processes. - → 97% of the products we produced were designed for low-impact, at-home care in 2024. - → Launched resale partnership to encourage product longevity and second-hand use across customer base. TRANSPORTATION *Compared to our 2019 baseline - → Reduce air shipments of raw materials and finished products. - → Encourage and incentivize customers to use ground shipments for purchases and returns.",1,greenwash-risk,0.4598,Everlane,"NEXT STEPS TO PRIORITIZE PROGRESS We hold a deep belief that meaningful progress in social responsibility is built on long-term relationships, continuous learning, and collective action. In our experience, there are three key pathways to driving year-over-year improvement in supplier performance. Fi"
2717,Everlane,supply_chain,1.0,0.5315,"- → Prioritize lower-impact production processes, such as closed-loop processes. - → 97% of the products we produced were designed for low-impact, at-home care in 2024. - → Launched resale partnership to encourage product longevity and second-hand use across customer base. TRANSPORTATION *Compared to our 2019 baseline - → Reduce air shipments of raw materials and finished products. - → Encourage and incentivize customers to use ground shipments for purchases and returns.",2,greenwash-risk,0.4867,Ralph Lauren,"We are committed to minimizing downstream impacts where possible and advancing circularity. More information can be found in our Resource Use & Circularity section of this report. Outbound Wholesale and Licensed Product Use Repair, Returns Transportation Retail Operations Phase and End-of-Life 10 Th"
2717,Everlane,supply_chain,1.0,0.5315,"- → Prioritize lower-impact production processes, such as closed-loop processes. - → 97% of the products we produced were designed for low-impact, at-home care in 2024. - → Launched resale partnership to encourage product longevity and second-hand use across customer base. TRANSPORTATION *Compared to our 2019 baseline - → Reduce air shipments of raw materials and finished products. - → Encourage and incentivize customers to use ground shipments for purchases and returns.",3,greenwash-risk,0.4952,Zara,"In this regard, we develop initiatives to minimise the impact of the facilities of our supply chain as part of the Supply Chain Environmental Transformation Plan 2024-2027. In addition, we work continuously on innovation in materials and processes to reduce their impact on the environment and people"
2844,Patagonia,supply_chain,1.0,0.576,"We have work ahead of us to reach the full potential of our business structure, prove this experiment works and explain why it matters to our employees and community. What is clear is that for all the work we’ve done on our products and in our supply chain, and all the money we’ve given away to environmental nonprofits, it is still not enough. We can dedicate all our time and resources to saving the planet, but our impact is ultimately limited considering what we are up against. If supporting gr",1,greenwash-risk,0.2524,Patagonia,"If supporting grassroots activists taught us anything, however, it is that when enough individuals come together, it is possible to take on a system. To get there, businesses must exist to do more than provide a good service or make a quality product, and they definitely need to exist to do more tha"
2844,Patagonia,supply_chain,1.0,0.576,"We have work ahead of us to reach the full potential of our business structure, prove this experiment works and explain why it matters to our employees and community. What is clear is that for all the work we’ve done on our products and in our supply chain, and all the money we’ve given away to environmental nonprofits, it is still not enough. We can dedicate all our time and resources to saving the planet, but our impact is ultimately limited considering what we are up against. If supporting gr",2,greenwash-risk,0.4647,Shein,"54 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Decarbonise Our Value Chain Our Decarbonisation Journey Ahead As we look towards our net-zero target, we recognise the need not onl"
2844,Patagonia,supply_chain,1.0,0.576,"We have work ahead of us to reach the full potential of our business structure, prove this experiment works and explain why it matters to our employees and community. What is clear is that for all the work we’ve done on our products and in our supply chain, and all the money we’ve given away to environmental nonprofits, it is still not enough. We can dedicate all our time and resources to saving the planet, but our impact is ultimately limited considering what we are up against. If supporting gr",3,greenwash-risk,0.4766,Shein,"In our communications with stakeholders, we strive to make appropriate accommodations to ensure that differences in context, culture, and language are accounted for. By actively listening to our stakeholders, incorporating their perspectives into our decision-making processes, and collaborating on s"
2926,Patagonia,unclear,1.0,0.5168,"Perhaps, to gain some short-term sales, we could sell into a greater number of big chain stores. Instead, we do our best to seek partners with expertise in the activities we make gear for and strive for mutually beneficial relationships with them. Retailers carrying our products now span more than 5,700 locations worldwide. Some of these mostly independent retailers have been with us since the beginning (over 50 years). These dealers host events, support local conservation efforts and foster out",1,greenwash-risk,0.4855,Ralph Lauren,"We are committed to minimizing downstream impacts where possible and advancing circularity. More information can be found in our Resource Use & Circularity section of this report. Outbound Wholesale and Licensed Product Use Repair, Returns Transportation Retail Operations Phase and End-of-Life 10 Th"
2926,Patagonia,unclear,1.0,0.5168,"Perhaps, to gain some short-term sales, we could sell into a greater number of big chain stores. Instead, we do our best to seek partners with expertise in the activities we make gear for and strive for mutually beneficial relationships with them. Retailers carrying our products now span more than 5,700 locations worldwide. Some of these mostly independent retailers have been with us since the beginning (over 50 years). These dealers host events, support local conservation efforts and foster out",2,greenwash-risk,0.5498,H&M,"Sharing resources brings shared success To achieve our ambitious goals, we have shared operational enablers that support our key strategic areas. These mainly relate to developing our employees, using new technology, integrating sustainability into the business and focusing on an efficient use of re"
2926,Patagonia,unclear,1.0,0.5168,"Perhaps, to gain some short-term sales, we could sell into a greater number of big chain stores. Instead, we do our best to seek partners with expertise in the activities we make gear for and strive for mutually beneficial relationships with them. Retailers carrying our products now span more than 5,700 locations worldwide. Some of these mostly independent retailers have been with us since the beginning (over 50 years). These dealers host events, support local conservation efforts and foster out",3,greenwash-risk,0.5605,Shein,58 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Source Responsible Materials Understanding Our Material Impacts Understanding our impacts is essential for driving positive change.
