passage_id,brand,knn_pred,knn_prob,tfidf_pred,tfidf_prob,agree
1,H&M,1,0.5714,0,0.4593,False
4,H&M,1,0.5714,0,0.4268,False
5,H&M,1,0.5714,0,0.4635,False
6,H&M,1,0.5714,0,0.4565,False
7,H&M,1,0.5714,0,0.4532,False
9,H&M,1,0.7143,0,0.4866,False
10,H&M,1,0.5714,0,0.4563,False
13,H&M,1,0.5714,0,0.4684,False
18,H&M,1,0.7143,0,0.4975,False
21,H&M,1,0.7143,0,0.4954,False
24,H&M,0,0.4286,1,0.5403,False
27,H&M,1,0.7143,0,0.4928,False
31,H&M,1,0.7143,0,0.4569,False
36,H&M,1,0.8571,0,0.493,False
38,H&M,1,0.7143,0,0.4726,False
39,H&M,1,1.0,0,0.42,False
40,H&M,1,0.5714,0,0.4585,False
41,H&M,1,0.7143,0,0.4693,False
42,H&M,1,0.7143,0,0.457,False
69,H&M,1,0.5714,0,0.4959,False
72,H&M,1,0.5714,0,0.3945,False
83,H&M,1,0.7143,0,0.4643,False
85,H&M,1,0.5714,0,0.4619,False
87,H&M,1,0.5714,0,0.4912,False
92,H&M,1,0.7143,0,0.4727,False
99,H&M,1,0.7143,0,0.4144,False
101,H&M,1,0.5714,0,0.4596,False
107,H&M,1,0.5714,0,0.4596,False
114,H&M,1,0.5714,0,0.4006,False
123,H&M,1,0.7143,0,0.4748,False
124,H&M,1,0.8571,0,0.4805,False
125,H&M,1,0.7143,0,0.4712,False
126,H&M,1,0.5714,0,0.4516,False
127,H&M,1,0.5714,0,0.4441,False
128,H&M,1,0.5714,0,0.4787,False
131,H&M,1,0.7143,0,0.4711,False
132,H&M,1,0.7143,0,0.4627,False
135,H&M,1,0.5714,0,0.4659,False
152,H&M,1,0.5714,0,0.4755,False
153,H&M,1,0.7143,0,0.4877,False
155,H&M,1,0.5714,0,0.4487,False
156,H&M,1,0.5714,0,0.4855,False
159,H&M,0,0.4286,1,0.5102,False
160,H&M,1,0.5714,0,0.48,False
163,H&M,1,0.5714,0,0.4567,False
171,H&M,1,0.7143,0,0.4892,False
173,H&M,1,0.5714,0,0.4704,False
175,H&M,1,0.5714,0,0.4947,False
176,H&M,1,0.5714,0,0.4558,False
179,H&M,1,0.5714,0,0.5,False
181,H&M,1,0.7143,0,0.4719,False
182,H&M,1,0.8571,0,0.4656,False
183,H&M,1,0.5714,0,0.4832,False
186,H&M,1,0.5714,0,0.4801,False
194,H&M,1,0.7143,0,0.4867,False
197,H&M,1,0.5714,0,0.4746,False
199,H&M,1,0.5714,0,0.4733,False
200,H&M,1,0.7143,0,0.4707,False
201,H&M,1,0.8571,0,0.4969,False
202,H&M,1,0.7143,0,0.4859,False
206,H&M,1,0.5714,0,0.4682,False
207,H&M,1,0.5714,0,0.4597,False
208,H&M,1,0.5714,0,0.4699,False
209,H&M,1,0.5714,0,0.4579,False
210,H&M,0,0.4286,1,0.5048,False
212,H&M,1,0.5714,0,0.458,False
213,H&M,1,0.5714,0,0.4824,False
214,H&M,1,0.5714,0,0.4805,False
256,H&M,1,0.5714,0,0.4183,False
259,H&M,1,0.5714,0,0.3971,False
262,H&M,1,0.5714,0,0.47,False
264,H&M,1,0.5714,0,0.4891,False
265,H&M,1,0.5714,0,0.411,False
268,H&M,1,0.5714,0,0.4748,False
269,H&M,1,0.5714,0,0.4839,False
271,H&M,1,0.5714,0,0.4805,False
276,H&M,1,0.5714,0,0.4247,False
286,H&M,1,0.5714,0,0.4989,False
287,H&M,0,0.4286,1,0.5184,False
289,H&M,1,0.5714,0,0.4774,False
291,H&M,1,0.5714,0,0.4592,False
297,H&M,1,0.5714,0,0.4947,False
298,H&M,1,0.5714,0,0.4396,False
299,H&M,1,0.5714,0,0.4777,False
300,H&M,1,0.5714,0,0.4994,False
307,H&M,1,0.5714,0,0.4804,False
310,H&M,1,0.7143,0,0.492,False
311,H&M,1,0.5714,0,0.4789,False
312,H&M,1,0.5714,0,0.4497,False
318,H&M,1,0.5714,0,0.4658,False
319,H&M,0,0.4286,1,0.519,False
320,H&M,0,0.4286,1,0.5818,False
325,H&M,0,0.4286,1,0.5153,False
326,H&M,0,0.4286,1,0.5383,False
327,H&M,0,0.4286,1,0.5271,False
328,H&M,0,0.4286,1,0.5176,False
330,H&M,1,0.5714,0,0.4398,False
333,H&M,1,0.5714,0,0.4966,False
334,H&M,1,0.5714,0,0.4526,False
336,H&M,1,0.5714,0,0.4983,False
342,H&M,1,0.5714,0,0.4694,False
343,H&M,1,0.8571,0,0.469,False
346,H&M,1,0.5714,0,0.4706,False
347,H&M,1,0.5714,0,0.4516,False
349,H&M,1,0.7143,0,0.4755,False
351,H&M,1,0.7143,0,0.4929,False
354,H&M,1,0.5714,0,0.4944,False
355,H&M,1,0.8571,0,0.4901,False
356,H&M,1,0.5714,0,0.4849,False
357,H&M,1,0.5714,0,0.4704,False
358,H&M,1,0.7143,0,0.444,False
361,H&M,1,0.5714,0,0.4538,False
367,H&M,1,0.7143,0,0.4582,False
371,H&M,1,0.7143,0,0.4953,False
372,H&M,1,0.8571,0,0.4868,False
377,H&M,1,0.5714,0,0.4488,False
380,H&M,1,0.5714,0,0.447,False
384,H&M,1,0.5714,0,0.4294,False
422,H&M,1,0.7143,0,0.4121,False
423,H&M,1,0.5714,0,0.4385,False
424,H&M,1,0.5714,0,0.4661,False
426,H&M,1,0.5714,0,0.4842,False
427,H&M,1,0.7143,0,0.4419,False
428,H&M,1,0.7143,0,0.4336,False
435,H&M,1,0.5714,0,0.4164,False
436,H&M,1,0.5714,0,0.4939,False
437,H&M,1,0.5714,0,0.4596,False
440,H&M,1,0.7143,0,0.4532,False
441,H&M,1,0.8571,0,0.4516,False
442,H&M,1,0.7143,0,0.4642,False
443,H&M,1,0.5714,0,0.4864,False
448,H&M,1,0.5714,0,0.4927,False
451,H&M,0,0.4286,1,0.5184,False
452,H&M,1,0.5714,0,0.4423,False
453,H&M,1,0.5714,0,0.4947,False
458,H&M,1,0.7143,0,0.468,False
461,H&M,1,0.7143,0,0.49,False
465,H&M,1,0.5714,0,0.4959,False
466,H&M,1,0.5714,0,0.4832,False
470,H&M,1,0.8571,0,0.4885,False
472,H&M,1,0.5714,0,0.4855,False
475,H&M,0,0.2857,1,0.5359,False
477,H&M,1,0.5714,0,0.4715,False
481,H&M,1,0.5714,0,0.443,False
482,H&M,1,0.8571,0,0.4903,False
483,H&M,1,0.5714,0,0.4415,False
494,H&M,1,0.5714,0,0.4748,False
495,H&M,0,0.4286,1,0.5007,False
496,H&M,0,0.4286,1,0.5236,False
510,H&M,1,0.7143,0,0.457,False
543,H&M,1,0.7143,0,0.4896,False
544,H&M,1,0.5714,0,0.4829,False
546,H&M,0,0.4286,1,0.5103,False
547,H&M,0,0.4286,1,0.514,False
552,H&M,0,0.4286,1,0.5053,False
553,Zara,1,0.5714,0,0.4747,False
554,Zara,1,0.8571,0,0.4269,False
560,Zara,1,0.8571,0,0.4897,False
562,Zara,0,0.4286,1,0.5238,False
569,Zara,1,0.8571,0,0.4623,False
602,Zara,1,0.5714,0,0.4091,False
603,Zara,1,0.5714,0,0.4608,False
617,Zara,1,0.5714,0,0.4077,False
619,Zara,0,0.2857,1,0.5033,False
623,Zara,1,0.7143,0,0.4566,False
625,Zara,1,0.5714,0,0.4522,False
627,Zara,1,0.7143,0,0.3974,False
628,Zara,1,0.7143,0,0.4874,False
632,Zara,1,0.8571,0,0.4563,False
633,Zara,1,0.5714,0,0.4706,False
636,Zara,1,0.7143,0,0.4392,False
637,Zara,1,0.5714,0,0.4331,False
641,Zara,1,0.7143,0,0.4221,False
642,Zara,1,0.5714,0,0.4171,False
644,Zara,1,0.5714,0,0.4545,False
663,Zara,0,0.4286,1,0.5571,False
668,Zara,1,0.7143,0,0.4451,False
670,Zara,1,0.5714,0,0.443,False
672,Zara,1,0.5714,0,0.3934,False
673,Zara,1,0.5714,0,0.3794,False
676,Zara,1,0.5714,0,0.355,False
677,Zara,1,0.5714,0,0.4943,False
678,Zara,1,0.5714,0,0.4876,False
680,Zara,1,0.5714,0,0.4326,False
693,Zara,0,0.4286,1,0.5777,False
695,Zara,1,0.5714,0,0.3822,False
699,Zara,1,0.5714,0,0.4296,False
700,Zara,1,0.5714,0,0.4532,False
701,Zara,1,0.5714,0,0.4474,False
702,Zara,1,0.5714,0,0.4706,False
703,Zara,1,0.5714,0,0.4208,False
709,Zara,1,0.7143,0,0.4775,False
710,Zara,1,0.5714,0,0.4965,False
711,Zara,1,0.5714,0,0.4759,False
716,Zara,1,0.5714,0,0.4796,False
717,Zara,1,0.5714,0,0.4362,False
718,Zara,1,0.5714,0,0.4373,False
733,Zara,1,0.5714,0,0.3971,False
751,Zara,0,0.2857,1,0.5162,False
757,Zara,0,0.4286,1,0.5277,False
761,Zara,1,0.7143,0,0.4912,False
765,Zara,0,0.4286,1,0.5242,False
771,Zara,1,0.7143,0,0.4479,False
772,Zara,1,0.5714,0,0.4162,False
784,Zara,1,0.7143,0,0.4249,False
786,Zara,0,0.2857,1,0.5088,False
792,Zara,0,0.2857,1,0.5006,False
793,Zara,0,0.4286,1,0.5255,False
794,Zara,0,0.2857,1,0.5166,False
797,Zara,1,0.5714,0,0.4935,False
799,Zara,1,0.5714,0,0.4778,False
803,Zara,1,0.5714,0,0.3902,False
804,Zara,1,0.5714,0,0.4008,False
805,Zara,1,0.7143,0,0.4773,False
809,Zara,1,0.5714,0,0.4971,False
810,Zara,1,0.5714,0,0.4331,False
819,Zara,0,0.4286,1,0.6156,False
820,Zara,0,0.1429,1,0.5351,False
825,Zara,1,0.7143,0,0.4844,False
827,Zara,1,0.7143,0,0.4752,False
831,Zara,1,0.8571,0,0.4966,False
832,Zara,1,0.7143,0,0.4685,False
833,Zara,1,0.7143,0,0.4991,False
834,Zara,1,0.8571,0,0.4921,False
838,Zara,1,0.5714,0,0.473,False
843,Zara,1,0.7143,0,0.4989,False
844,Zara,1,0.5714,0,0.4524,False
847,Zara,1,0.7143,0,0.4675,False
849,Zara,1,0.5714,0,0.4359,False
853,Zara,1,0.8571,0,0.4906,False
854,Zara,1,0.5714,0,0.4927,False
862,Zara,1,0.5714,0,0.4371,False
864,Zara,1,0.8571,0,0.4568,False
865,Zara,1,0.5714,0,0.4942,False
868,Zara,1,0.8571,0,0.4194,False
880,Zara,1,0.5714,0,0.4565,False
881,Zara,1,0.7143,0,0.4146,False
882,Zara,1,0.5714,0,0.372,False
883,Zara,0,0.0,1,0.5033,False
884,Zara,1,0.8571,0,0.4945,False
885,Zara,1,0.5714,0,0.4235,False
886,Zara,1,0.7143,0,0.414,False
887,Zara,1,0.7143,0,0.4167,False
889,Zara,1,0.7143,0,0.4586,False
890,Zara,1,0.5714,0,0.4261,False
902,Zara,1,0.5714,0,0.3543,False
908,Zara,1,0.7143,0,0.4245,False
909,Zara,1,0.7143,0,0.4127,False
910,Zara,1,0.5714,0,0.4476,False
916,Zara,1,0.5714,0,0.4522,False
922,Zara,1,0.7143,0,0.4773,False
927,Zara,1,0.5714,0,0.4355,False
931,Zara,1,0.5714,0,0.4413,False
981,Zara,1,0.5714,0,0.4839,False
990,Zara,1,0.5714,0,0.4489,False
999,Zara,1,0.5714,0,0.4035,False
1008,Zara,1,0.7143,0,0.4752,False
1036,Zara,1,0.5714,0,0.4461,False
1038,Zara,1,0.5714,0,0.4033,False
1042,Zara,1,0.5714,0,0.431,False
1045,Zara,1,0.5714,0,0.4542,False
1072,Zara,0,0.2857,1,0.5062,False
1074,Zara,1,0.5714,0,0.394,False
1079,Shein,0,0.4286,1,0.5286,False
1082,Shein,1,0.7143,0,0.466,False
1083,Shein,1,0.5714,0,0.4914,False
1085,Shein,1,0.7143,0,0.4657,False
1086,Shein,1,0.5714,0,0.4829,False
1093,Shein,0,0.4286,1,0.5201,False
1103,Shein,1,0.5714,0,0.4654,False
1108,Shein,1,0.8571,0,0.4689,False
1109,Shein,1,0.7143,0,0.488,False
1115,Shein,1,0.5714,0,0.4718,False
1119,Shein,1,0.5714,0,0.4471,False
1123,Shein,1,0.5714,0,0.4675,False
1127,Shein,1,0.5714,0,0.4517,False
1132,Shein,1,0.5714,0,0.479,False
1133,Shein,1,0.5714,0,0.493,False
1140,Shein,1,0.7143,0,0.4656,False
1141,Shein,1,0.5714,0,0.4025,False
1148,Shein,1,0.5714,0,0.4792,False
1153,Shein,1,0.5714,0,0.4925,False
1158,Shein,1,0.5714,0,0.4729,False
1159,Shein,1,0.5714,0,0.4739,False
1164,Shein,1,0.5714,0,0.4822,False
1166,Shein,1,0.5714,0,0.4713,False
1169,Shein,1,0.5714,0,0.4503,False
1170,Shein,1,0.5714,0,0.463,False
1177,Shein,1,0.7143,0,0.4625,False
1180,Shein,1,0.8571,0,0.4725,False
1181,Shein,1,0.5714,0,0.4677,False
1182,Shein,1,0.5714,0,0.4748,False
1183,Shein,1,0.8571,0,0.4856,False
1184,Shein,1,0.8571,0,0.4625,False
1187,Shein,1,0.7143,0,0.4648,False
1191,Shein,1,0.7143,0,0.4459,False
1198,Shein,1,0.5714,0,0.4802,False
1199,Shein,1,0.7143,0,0.4685,False
1200,Shein,1,0.5714,0,0.4303,False
1201,Shein,1,0.5714,0,0.4496,False
1202,Shein,1,0.5714,0,0.4573,False
1203,Shein,1,0.5714,0,0.4536,False
1204,Shein,1,0.5714,0,0.4366,False
1207,Shein,1,0.5714,0,0.4926,False
1209,Shein,1,0.5714,0,0.4611,False
1214,Shein,1,0.7143,0,0.4711,False
1217,Shein,1,0.8571,0,0.4838,False
1224,Shein,1,0.5714,0,0.4721,False
1225,Shein,1,0.5714,0,0.4491,False
1232,Shein,1,0.5714,0,0.4989,False
1234,Shein,1,0.5714,0,0.482,False
1238,Shein,1,0.7143,0,0.4994,False
1239,Shein,1,0.7143,0,0.4897,False
1240,Shein,0,0.4286,1,0.5166,False
1242,Shein,0,0.4286,1,0.5703,False
1246,Shein,1,0.5714,0,0.4718,False
1247,Shein,1,0.8571,0,0.4744,False
1258,Shein,0,0.2857,1,0.509,False
1272,Shein,0,0.4286,1,0.5275,False
1274,Shein,1,0.5714,0,0.4477,False
1277,Shein,1,0.5714,0,0.449,False
1278,Shein,1,0.5714,0,0.4908,False
1282,Shein,1,0.5714,0,0.4504,False
1283,Shein,1,0.5714,0,0.4385,False
1284,Shein,1,0.8571,0,0.4815,False
1286,Shein,1,0.5714,0,0.4755,False
1287,Shein,1,0.5714,0,0.4546,False
1293,Shein,1,0.5714,0,0.438,False
1294,Shein,1,0.5714,0,0.4643,False
1297,Shein,1,0.5714,0,0.4847,False
1301,Shein,1,0.5714,0,0.4874,False
1302,Shein,1,0.5714,0,0.4407,False
1305,Shein,1,0.5714,0,0.497,False
1306,Shein,1,0.8571,0,0.4715,False
1307,Shein,1,0.5714,0,0.4421,False
1356,Shein,1,0.5714,0,0.4549,False
1367,Shein,1,0.5714,0,0.4671,False
1368,Shein,1,0.5714,0,0.4786,False
1369,Shein,1,0.5714,0,0.4409,False
1370,Shein,1,0.7143,0,0.4661,False
1399,Kering,1,0.5714,0,0.4654,False
1400,Kering,0,0.2857,1,0.5135,False
1402,Kering,1,0.7143,0,0.4515,False
1403,Kering,1,0.5714,0,0.473,False
1405,Kering,1,0.7143,0,0.4981,False
1406,Kering,1,0.7143,0,0.4837,False
1410,Kering,0,0.2857,1,0.5196,False
1412,Kering,1,0.5714,0,0.4311,False
1414,Kering,0,0.4286,1,0.5585,False
1416,Kering,0,0.2857,1,0.5034,False
1425,Kering,0,0.4286,1,0.5116,False
1428,Kering,0,0.4286,1,0.5635,False
1429,Kering,0,0.4286,1,0.552,False
1430,Kering,1,0.5714,0,0.49,False
1437,Kering,1,0.5714,0,0.4852,False
1438,Kering,1,0.5714,0,0.4804,False
1446,Kering,1,0.7143,0,0.4911,False
1447,Kering,1,0.7143,0,0.4969,False
1450,Kering,1,0.5714,0,0.4652,False
1452,Kering,1,0.5714,0,0.3964,False
1460,Kering,0,0.4286,1,0.5133,False
1464,Kering,0,0.4286,1,0.5095,False
1482,Lululemon,0,0.2857,1,0.5113,False
1484,Lululemon,0,0.4286,1,0.5105,False
1485,Lululemon,1,0.5714,0,0.4716,False
1486,Lululemon,1,0.8571,0,0.4845,False
1490,Lululemon,1,0.5714,0,0.4527,False
1492,Lululemon,1,0.5714,0,0.489,False
1500,Lululemon,0,0.4286,1,0.508,False
1507,Lululemon,1,0.5714,0,0.3993,False
1508,Lululemon,1,0.5714,0,0.3649,False
1512,Lululemon,1,0.5714,0,0.4185,False
1517,Lululemon,1,0.5714,0,0.4264,False
1523,Lululemon,1,0.5714,0,0.48,False
1528,Lululemon,0,0.2857,1,0.5043,False
1532,Lululemon,0,0.4286,1,0.5005,False
1537,Lululemon,1,0.5714,0,0.4265,False
1545,Lululemon,1,0.5714,0,0.4185,False
1547,Lululemon,1,0.5714,0,0.4622,False
1548,Lululemon,1,0.5714,0,0.4636,False
1551,Lululemon,1,0.5714,0,0.4124,False
1555,Lululemon,1,0.7143,0,0.4648,False
1562,Lululemon,1,0.5714,0,0.4602,False
1566,Lululemon,1,0.5714,0,0.4459,False
1567,Lululemon,1,0.5714,0,0.4819,False
1571,Lululemon,1,0.8571,0,0.4785,False
1572,Lululemon,1,0.7143,0,0.4932,False
1576,Lululemon,1,0.7143,0,0.4279,False
1577,Lululemon,1,0.7143,0,0.4568,False
1578,Lululemon,1,0.5714,0,0.4836,False
1579,Lululemon,1,0.5714,0,0.4946,False
1582,Lululemon,1,0.7143,0,0.4565,False
1583,Lululemon,1,0.7143,0,0.4993,False
1585,Lululemon,1,0.8571,0,0.4906,False
1586,Lululemon,1,0.8571,0,0.4666,False
1587,Lululemon,1,0.7143,0,0.4786,False
1588,Lululemon,1,0.5714,0,0.454,False
1593,Lululemon,1,0.7143,0,0.4768,False
1596,Lululemon,1,0.5714,0,0.4402,False
1599,Lululemon,1,0.7143,0,0.4874,False
1601,Lululemon,1,0.5714,0,0.4908,False
1605,Lululemon,1,0.5714,0,0.4622,False
1613,Lululemon,1,0.5714,0,0.4542,False
1614,Lululemon,1,0.5714,0,0.4549,False
1615,Lululemon,1,0.5714,0,0.4583,False
1616,Lululemon,1,0.5714,0,0.4263,False
1618,Lululemon,1,0.5714,0,0.4412,False
1619,Lululemon,1,0.5714,0,0.4652,False
1620,Lululemon,1,0.5714,0,0.4483,False
1621,Lululemon,1,0.5714,0,0.451,False
1625,Lululemon,1,0.5714,0,0.4714,False
1626,Lululemon,1,0.7143,0,0.4756,False
1628,Lululemon,1,0.5714,0,0.4755,False
1629,Lululemon,1,0.5714,0,0.4931,False
1630,Lululemon,1,0.5714,0,0.4918,False
1631,Lululemon,1,0.7143,0,0.4789,False
1635,Lululemon,1,0.5714,0,0.4878,False
1636,Lululemon,1,0.7143,0,0.4239,False
1637,Lululemon,1,0.5714,0,0.4938,False
1639,Lululemon,1,0.7143,0,0.4829,False
1640,Lululemon,1,0.5714,0,0.4163,False
1641,Lululemon,1,0.5714,0,0.396,False
1643,Lululemon,1,0.5714,0,0.4396,False
1645,Lululemon,1,0.5714,0,0.4688,False
1646,Lululemon,1,0.5714,0,0.4851,False
1647,Lululemon,1,0.7143,0,0.4895,False
1649,Lululemon,1,0.5714,0,0.4554,False
1656,Lululemon,1,0.5714,0,0.4705,False
1669,Lululemon,1,0.5714,0,0.4199,False
1674,Lululemon,1,0.5714,0,0.4301,False
1675,Lululemon,1,0.5714,0,0.4549,False
1677,Lululemon,0,0.4286,1,0.5307,False
1679,Lululemon,1,0.5714,0,0.4413,False
